id,name,chain,protocol,base,reward,apy,tvl,link,is_new,watched,class,has_rewards
108642,USDT-BUSD,BNB Chain,Beefy,0.024919,0.0,0.024919,1253309,https://api.coindix.com/vault/108642/redirect,False,False,C,no
14601,USDT-USDC-BUSD-DAI,BNB Chain,Autofarm,0.02480575,0.0,0.02480575,1409355,https://api.coindix.com/vault/14601/redirect,False,False,C,no
40491,USDC-MAI,Fantom,SpookySwap,0.00909503,0.01552954,0.02462457,1717251,https://api.coindix.com/vault/40491/redirect,False,False,C,yes
67919,DAI,Avalanche,Benqi,0.0244,0.0,0.0244,26120000,https://api.coindix.com/vault/67919/redirect,False,False,B,no
36100,DAI,BNB Chain,Belt,0.0,0.0243,0.0243,2200000,https://api.coindix.com/vault/36100/redirect,False,False,C,yes
35020,USDC-USDT,BNB Chain,Alpaca,0.00693086,0.01696198,0.02401008,102546,https://api.coindix.com/vault/35020/redirect,False,False,C,yes
32960,USDC,Avalanche,Cream,0.023657,0.0,0.023657,817679,https://api.coindix.com/vault/32960/redirect,False,False,C,no
16075,FRAX-BUSD,BNB Chain,Beefy,0.02288588,0.0,0.02288588,100706,https://api.coindix.com/vault/16075/redirect,False,False,C,no
36101,BUSD,BNB Chain,Belt,0.0,0.0228,0.0228,3500000,https://api.coindix.com/vault/36101/redirect,False,False,C,yes
16219,USDT-USDC,BNB Chain,Beefy,0.02228241,0.0,0.02228241,276113,https://api.coindix.com/vault/16219/redirect,False,False,C,no
272627,DAI-USDT,Ethereum,Uniswap,0.0222501,0.0,0.0222501,1355947,https://api.coindix.com/vault/272627/redirect,False,False,C,no
272162,USDC-USDT,Ethereum,Uniswap,0.0218347,0.0,0.0218347,13739866,https://api.coindix.com/vault/272162/redirect,False,False,B,no
45563,USDC.e-USDC,Avalanche,Pangolin,0.00178447,0.02,0.02178447,2931304,https://api.coindix.com/vault/45563/redirect,False,False,C,yes
14921,USDC-DAI,Polygon,Autofarm,0.02168102,0.0,0.02168102,51026,https://api.coindix.com/vault/14921/redirect,False,False,C,no
17553,DAI,BNB Chain,Cream,0.021499,0.0,0.021499,45187,https://api.coindix.com/vault/17553/redirect,False,False,C,no
16981,USDC-DAI,Polygon,Beefy,0.02086362,0.0,0.02086362,933478,https://api.coindix.com/vault/16981/redirect,False,False,C,no
17275,USDT,Ethereum,Yearn,0.0206,0.0,0.0206,17222049,https://api.coindix.com/vault/17275/redirect,False,False,B,no
113709,USDT-USDC,BNB Chain,Autofarm,0.02026551,0.0,0.02026551,166318,https://api.coindix.com/vault/113709/redirect,False,False,C,no
272113,USDC-USDT,Ethereum,Uniswap,0.0202464,0.0,0.0202464,167691311,https://api.coindix.com/vault/272113/redirect,False,False,A,no
36102,USDT,BNB Chain,Belt,0.0,0.0202,0.0202,4000000,https://api.coindix.com/vault/36102/redirect,False,False,C,yes
17660,USDC,BNB Chain,Venus,0.01313824,0.00684179,0.01998003,75896277,https://api.coindix.com/vault/17660/redirect,False,False,A,yes
16940,DAI-USDC-USDT,Polygon,Beefy,0.01960171,0.0,0.01960171,1363391,https://api.coindix.com/vault/16940/redirect,False,False,C,no
272305,USDC-USDT,Polygon,Uniswap,0.0194587,0.0,0.0194587,1949304,https://api.coindix.com/vault/272305/redirect,False,False,C,no
16731,TUSD-USDC,Fantom,Beefy,0.01909757,0.0,0.01909757,214727,https://api.coindix.com/vault/16731/redirect,False,False,C,no
34985,BUSD,BNB Chain,Alpaca,0.01647129,0.0025375,0.01900879,95068701,https://api.coindix.com/vault/34985/redirect,False,False,A,yes
67083,USDC,Waves,Vires,0.01816298,0.00062944,0.01879242,72444908,https://api.coindix.com/vault/67083/redirect,False,False,A,yes
67082,USDT,Waves,Vires,0.01816298,0.0005964,0.01875937,30361445,https://api.coindix.com/vault/67082/redirect,False,False,B,yes
